ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760671601169899305,gate,bbo,1760671601169000000,1760671601169000000,0.09824500,,market,,,,,,,,,,,
1760671601185979929,bitget,orderbook,1760671601178000000,1760671601176000000,0.09831000,,market,,,,,,,,,,,
1760671601185979929,bitget,bbo,1760671601178000000,1760671601179000000,0.09830950,,market,,,,,,,,,,,
1760671601185972176,bitget,trade,1760671601002000000,1760671601177000000,0.09835000,sell,market,,,,,,,,,,,
1760671601215678603,gate,bbo,1760671601214000000,1760671601215000000,0.09825500,,market,,,,,,,,,,,
1760671601225997894,gate,bbo,1760671601225000000,1760671601225000000,0.09825000,,market,,,,,,,,,,,
1760671601254973566,gate,bbo,1760671601254000000,1760671601254000000,0.09824500,,market,,,,,,,,,,,
1760671601267990420,bitget,trade,1760671601258000000,1760671601265000000,0.09828050,buy,market,,,,,,,,,,,
1760671601295153205,gate,bbo,1760671601294000000,1760671601294000000,0.09824500,,market,,,,,,,,,,,
1760671601312409059,binance,bbo,1760671601310000000,1760671601311000000,0.09839437,,market,,,,,,,,,,,
1760671601311930721,binance,trade,1760671601306000000,1760671601310000000,0.09838938,buy,market,,,,,,,,,,,
1760671601316485564,gate,bbo,1760671601315000000,1760671601316000000,0.09836000,,market,,,,,,,,,,,
1760671601310082677,gate,trade,1760671601309000000,1760671601309000000,0.09841000,buy,market,,,,,,,,,,,
1760671601309028410,bitget,orderbook,1760671601304000000,1760671601307000000,0.09828720,,market,,,,,,,,,,,
1760671601304890479,bitget,bbo,1760671601300000000,1760671601302000000,0.09827570,,market,,,,,,,,,,,
1760671601333632903,binance,bbo,1760671601332000000,1760671601332000000,0.09838222,,market,,,,,,,,,,,
1760671601328635391,gate,bbo,1760671601327000000,1760671601328000000,0.09836000,,market,,,,,,,,,,,
1760671601343452105,binance,bbo,1760671601342000000,1760671601342000000,0.09838773,,market,,,,,,,,,,,
1760671601355370763,gate,bbo,1760671601354000000,1760671601355000000,0.09836500,,market,,,,,,,,,,,
1760671601376558101,binance,bbo,1760671601375000000,1760671601375000000,0.09842654,,market,,,,,,,,,,,
1760671601374589869,binance,trade,1760671601371000000,1760671601373000000,0.09845154,buy,market,,,,,,,,,,,
1760671601368611499,gate,bbo,1760671601367000000,1760671601368000000,0.09838000,,market,,,,,,,,,,,
1760671601368531963,gate,trade,1760671601367000000,1760671601368000000,0.09839000,buy,market,,,,,,,,,,,
1760671601380644243,binance,bbo,1760671601379000000,1760671601379000000,0.09842281,,market,,,,,,,,,,,
1760671601391251186,gate,bbo,1760671601390000000,1760671601390000000,0.09840000,,market,,,,,,,,,,,
1760671601393336785,gate,trade,1760671601392000000,1760671601392000000,0.09841000,buy,market,,,,,,,,,,,
1760671601381624689,bitget,trade,1760671601372000000,1760671601379000000,0.09841230,buy,market,,,,,,,,,,,
1760671601414825789,gate,bbo,1760671601413000000,1760671601414000000,0.09843000,,market,,,,,,,,,,,
1760671601404783105,bitget,orderbook,1760671601400000000,1760671601307000000,0.09844698,,market,,,,,,,,,,,
1760671601404783105,bitget,bbo,1760671601400000000,1760671601402000000,0.09845048,,market,,,,,,,,,,,
1760671601451033513,gate,bbo,1760671601450000000,1760671601450000000,0.09843500,,market,,,,,,,,,,,
1760671601457770153,bitget,orderbook,1760671601454000000,1760671601455000000,0.09845065,,market,,,,,,,,,,,
1760671601461054850,gate,bbo,1760671601460000000,1760671601460000000,0.09844000,,market,,,,,,,,,,,
1760671601494763087,gate,bbo,1760671601493000000,1760671601494000000,0.09846500,,market,,,,,,,,,,,
1760671601501164032,bybit,orderbook,1760671601458000000,1760671601464000000,0.09867500,,market,,,,,,,,,,,
1760671601514384952,bitget,orderbook,1760671601509000000,1760671601455000000,0.09845075,,market,,,,,,,,,,,
1760671601514384952,bitget,bbo,1760671601509000000,1760671601512000000,0.09845975,,market,,,,,,,,,,,
1760671601519859956,bybit,orderbook,1760671601468000000,1760671601484000000,0.09846000,,market,,,,,,,,,,,
1760671601525907743,binance,trade,1760671601371000000,1760671601524000000,0.09846271,buy,market,,,,,,,,,,,
1760671601530516160,gate,bbo,1760671601529000000,1760671601530000000,0.09846000,,market,,,,,,,,,,,
1760671601567387365,bybit,orderbook,1760671601516000000,1760671601524000000,0.09846000,,market,,,,,,,,,,,
1760671601569601063,bybit,bbo,1760671601531000000,1760671601534000000,0.09843500,,market,,,,,,,,,,,
1760671601579696657,bybit,orderbook,1760671601537000000,1760671601544000000,0.09843000,,market,,,,,,,,,,,
1760671601589698529,bybit,bbo,1760671601551000000,1760671601554000000,0.09843000,,market,,,,,,,,,,,
1760671601582808288,binance,bbo,1760671601581000000,1760671601581000000,0.09842771,,market,,,,,,,,,,,
1760671601599851155,bybit,orderbook,1760671601560000000,1760671601564000000,0.09843000,,market,,,,,,,,,,,
1760671601609776646,bybit,bbo,1760671601573000000,1760671601574000000,0.09842500,,market,,,,,,,,,,,
1760671601612987932,bitget,orderbook,1760671601609000000,1760671601605000000,0.09846076,,market,,,,,,,,,,,
1760671601612987932,bitget,bbo,1760671601609000000,1760671601610000000,0.09846026,,market,,,,,,,,,,,
1760671601620449577,bybit,orderbook,1760671601577000000,1760671601585000000,0.09842500,,market,,,,,,,,,,,
1760671601639770655,bybit,orderbook,1760671601589000000,1760671601604000000,0.09842500,,market,,,,,,,,,,,
1760671601650330729,bybit,bbo,1760671601614000000,1760671601615000000,0.09842000,,market,,,,,,,,,,,
1760671601670353004,bybit,bbo,1760671601631000000,1760671601635000000,0.09841000,,market,,,,,,,,,,,
1760671601679748102,bybit,orderbook,1760671601642000000,1760671601644000000,0.09841000,,market,,,,,,,,,,,
1760671601699700833,bybit,orderbook,1760671601648000000,1760671601664000000,0.09841000,,market,,,,,,,,,,,
1760671601717012601,binance,bbo,1760671601715000000,1760671601716000000,0.09842271,,market,,,,,,,,,,,
1760671601720264542,bybit,orderbook,1760671601675000000,1760671601685000000,0.09840333,,market,,,,,,,,,,,
1760671601736576592,binance,bbo,1760671601736000000,1760671601736000000,0.09837346,,market,,,,,,,,,,,
1760671601721612754,binance,trade,1760671601718000000,1760671601720000000,0.09836346,sell,market,,,,,,,,,,,
1760671601728651247,gate,bbo,1760671601727000000,1760671601728000000,0.09840000,,market,,,,,,,,,,,
1760671601719714965,gate,trade,1760671601718000000,1760671601719000000,0.09840000,sell,market,,,,,,,,,,,
1760671601720339257,bitget,orderbook,1760671601717000000,1760671601605000000,0.09845709,,market,,,,,,,,,,,
1760671601720339257,bitget,bbo,1760671601717000000,1760671601718000000,0.09845709,,market,,,,,,,,,,,
1760671601739859121,bybit,orderbook,1760671601699000000,1760671601704000000,0.09840100,,market,,,,,,,,,,,
1760671601754445150,binance,bbo,1760671601752000000,1760671601752000000,0.09838000,,market,,,,,,,,,,,
1760671601748978043,gate,bbo,1760671601748000000,1760671601748000000,0.09840000,,market,,,,,,,,,,,
1760671601759749963,bybit,orderbook,1760671601722000000,1760671601724000000,0.09840100,,market,,,,,,,,,,,
1760671601758436218,bitget,orderbook,1760671601754000000,1760671601756000000,0.09845369,,market,,,,,,,,,,,
1760671601780091974,bybit,orderbook,1760671601727000000,1760671601744000000,0.09840100,,market,,,,,,,,,,,
1760671601789585612,bybit,bbo,1760671601752000000,1760671601754000000,0.09838100,,market,,,,,,,,,,,
1760671601787790445,bybit,trade,1760671601750000000,1760671601752000000,0.09838600,sell,market,,,,,,,,,,,
1760671601800624554,bybit,orderbook,1760671601763000000,1760671601764000000,0.09836100,,market,,,,,,,,,,,
1760671601809800119,bybit,bbo,1760671601773000000,1760671601774000000,0.09836100,,market,,,,,,,,,,,
1760671601804001192,binance,bbo,1760671601803000000,1760671601803000000,0.09837500,,market,,,,,,,,,,,
1760671601820341569,bybit,orderbook,1760671601782000000,1760671601784000000,0.09837833,,market,,,,,,,,,,,
1760671601830034865,bybit,bbo,1760671601792000000,1760671601795000000,0.09838833,,market,,,,,,,,,,,
1760671601833134893,binance,bbo,1760671601831000000,1760671601831000000,0.09840207,,market,,,,,,,,,,,
1760671601832096045,binance,trade,1760671601823000000,1760671601830000000,0.09838707,buy,market,,,,,,,,,,,
1760671601828293997,gate,bbo,1760671601827000000,1760671601827000000,0.09841500,,market,,,,,,,,,,,
1760671601821322463,bitget,orderbook,1760671601818000000,1760671601756000000,0.09838932,,market,,,,,,,,,,,
1760671601821322463,bitget,bbo,1760671601818000000,1760671601819000000,0.09839282,,market,,,,,,,,,,,
1760671601840359433,bybit,orderbook,1760671601798000000,1760671601805000000,0.09840125,,market,,,,,,,,,,,
1760671601849719493,bybit,bbo,1760671601813000000,1760671601814000000,0.09840625,,market,,,,,,,,,,,
1760671601851330116,bybit,trade,1760671601813000000,1760671601815000000,0.09836625,sell,market,,,,,,,,,,,
1760671601854747482,binance,bbo,1760671601853000000,1760671601853000000,0.09839839,,market,,,,,,,,,,,
1760671601854601593,gate,bbo,1760671601853000000,1760671601854000000,0.09842500,,market,,,,,,,,,,,
1760671601859692657,bybit,orderbook,1760671601821000000,1760671601824000000,0.09841125,,market,,,,,,,,,,,
