ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760021275361236000,bybit,orderbook,0.24364375,,market,,,,,,,,,,,
1760021275569000000,binance,bbo,0.24364500,,market,,,,,,,,,,,
1760021275414000000,binance,trade,0.24364000,buy,market,,,,,,,,,,,
1760021275779000000,gate,bbo,0.24364500,,market,,,,,,,,,,,
1760021275778000000,gate,trade,0.24364000,buy,market,,,,,,,,,,,
1760021275760005000,bitget,orderbook,0.24364250,,market,,,,,,,,,,,
1760021275768000000,bitget,bbo,0.24364250,,market,,,,,,,,,,,
1760021278720475000,bybit,orderbook,0.24381801,,market,,,,,,,,,,,
1760021278754000000,bybit,bbo,0.24381801,,market,,,,,,,,,,,
1760021278502000000,bybit,trade,0.24383301,sell,market,,,,,,,,,,,
1760021278710609000,binance,orderbook,0.24383159,,market,,,,,,,,,,,
1760021278693000000,binance,bbo,0.24383159,,market,,,,,,,,,,,
1760021278424000000,binance,trade,0.24383659,sell,market,,,,,,,,,,,
1760021278711000000,gate,bbo,0.24376500,,market,,,,,,,,,,,
1760021278497000000,gate,trade,0.24377000,buy,market,,,,,,,,,,,
1760021278720459000,bitget,orderbook,0.24378629,,market,,,,,,,,,,,
1760021278742000000,bitget,bbo,0.24378629,,market,,,,,,,,,,,
1760021278427000000,bitget,trade,0.24378129,sell,market,,,,,,,,,,,
1760021278740215000,bybit,orderbook,0.24381770,,market,,,,,,,,,,,
1760021278773000000,bybit,bbo,0.24381770,,market,,,,,,,,,,,
1760021278747000000,binance,bbo,0.24383121,,market,,,,,,,,,,,
1760021278622000000,binance,trade,0.24383621,buy,market,,,,,,,,,,,
1760021278747000000,gate,bbo,0.24376500,,market,,,,,,,,,,,
1760021278742614000,bitget,orderbook,0.24378616,,market,,,,,,,,,,,
1760021278764000000,bitget,bbo,0.24378616,,market,,,,,,,,,,,
1760021278751000000,bitget,trade,0.24379116,buy,market,,,,,,,,,,,
1760021278761717000,bybit,orderbook,0.24381770,,market,,,,,,,,,,,
1760021278803000000,bybit,bbo,0.24381770,,market,,,,,,,,,,,
1760021278761709000,bitget,orderbook,0.24378616,,market,,,,,,,,,,,
1760021278784000000,bitget,bbo,0.24378616,,market,,,,,,,,,,,
1760021278781259000,bybit,orderbook,0.24381770,,market,,,,,,,,,,,
1760021278802256000,bybit,orderbook,0.24381770,,market,,,,,,,,,,,
1760021278821325000,bybit,orderbook,0.24381770,,market,,,,,,,,,,,
1760021278832000000,binance,bbo,0.24383121,,market,,,,,,,,,,,
1760021278809221000,bitget,orderbook,0.24378616,,market,,,,,,,,,,,
1760021278842491000,bybit,orderbook,0.24381684,,market,,,,,,,,,,,
1760021278873000000,bybit,bbo,0.24381684,,market,,,,,,,,,,,
1760021278854000000,gate,bbo,0.24376500,,market,,,,,,,,,,,
1760021278854000000,gate,trade,0.24377000,buy,market,,,,,,,,,,,
1760021278832676000,bitget,orderbook,0.24378583,,market,,,,,,,,,,,
1760021278854000000,bitget,bbo,0.24378583,,market,,,,,,,,,,,
1760021278860611000,bybit,orderbook,0.24381654,,market,,,,,,,,,,,
1760021278870000000,binance,bbo,0.24382975,,market,,,,,,,,,,,
1760021278865000000,gate,bbo,0.24376500,,market,,,,,,,,,,,
1760021278854417000,bitget,orderbook,0.24378571,,market,,,,,,,,,,,
1760021278875000000,bitget,bbo,0.24378571,,market,,,,,,,,,,,
1760021278881328000,bybit,orderbook,0.24381654,,market,,,,,,,,,,,
1760021278913000000,bybit,bbo,0.24381654,,market,,,,,,,,,,,
1760021278735000000,binance,trade,0.24383475,buy,market,,,,,,,,,,,
1760021278902976000,bybit,orderbook,0.24381654,,market,,,,,,,,,,,
1760021278905000000,binance,bbo,0.24381975,,market,,,,,,,,,,,
1760021278892855000,bitget,orderbook,0.24378571,,market,,,,,,,,,,,
1760021278915000000,bitget,bbo,0.24378571,,market,,,,,,,,,,,
1760021278921334000,bybit,orderbook,0.24381626,,market,,,,,,,,,,,
1760021278964000000,bybit,bbo,0.24381626,,market,,,,,,,,,,,
1760021278917000000,gate,bbo,0.24376500,,market,,,,,,,,,,,
1760021278922679000,bitget,orderbook,0.24378559,,market,,,,,,,,,,,
1760021278938000000,bitget,bbo,0.24378559,,market,,,,,,,,,,,
1760021278941920000,bybit,orderbook,0.24381597,,market,,,,,,,,,,,
1760021278954000000,binance,bbo,0.24381414,,market,,,,,,,,,,,
1760021278897000000,binance,trade,0.24382414,sell,market,,,,,,,,,,,
1760021278953000000,gate,bbo,0.24376500,,market,,,,,,,,,,,
1760021278936453000,bitget,orderbook,0.24375565,,market,,,,,,,,,,,
1760021278958000000,bitget,bbo,0.24375565,,market,,,,,,,,,,,
1760021278962810000,bybit,orderbook,0.24379511,,market,,,,,,,,,,,
1760021278993000000,bybit,bbo,0.24379511,,market,,,,,,,,,,,
1760021278988000000,bybit,trade,0.24381011,sell,market,,,,,,,,,,,
1760021278974000000,binance,bbo,0.24379844,,market,,,,,,,,,,,
1760021278957000000,binance,trade,0.24380344,sell,market,,,,,,,,,,,
1760021278974000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021278966000000,gate,trade,0.24376000,buy,market,,,,,,,,,,,
1760021278962814000,bitget,orderbook,0.24372583,,market,,,,,,,,,,,
1760021278978000000,bitget,bbo,0.24372583,,market,,,,,,,,,,,
1760021278980917000,bybit,orderbook,0.24379484,,market,,,,,,,,,,,
1760021279013000000,bybit,bbo,0.24379484,,market,,,,,,,,,,,
1760021278993000000,binance,bbo,0.24379815,,market,,,,,,,,,,,
1760021278984000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021278976293000,bitget,orderbook,0.24372593,,market,,,,,,,,,,,
1760021278998000000,bitget,bbo,0.24372593,,market,,,,,,,,,,,
1760021279001122000,bybit,orderbook,0.24379430,,market,,,,,,,,,,,
1760021279008000000,binance,bbo,0.24379758,,market,,,,,,,,,,,
1760021279005000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021278996321000,bitget,orderbook,0.24372614,,market,,,,,,,,,,,
1760021279018000000,bitget,bbo,0.24372614,,market,,,,,,,,,,,
1760021279020989000,bybit,orderbook,0.24379404,,market,,,,,,,,,,,
1760021279031000000,binance,bbo,0.24379730,,market,,,,,,,,,,,
1760021279016000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279018546000,bitget,orderbook,0.24372624,,market,,,,,,,,,,,
1760021279040000000,bitget,bbo,0.24372624,,market,,,,,,,,,,,
1760021279042300000,bybit,orderbook,0.24379378,,market,,,,,,,,,,,
1760021279040000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279038092000,bitget,orderbook,0.24372634,,market,,,,,,,,,,,
1760021279060000000,bitget,bbo,0.24372634,,market,,,,,,,,,,,
1760021279060552000,bybit,orderbook,0.24379378,,market,,,,,,,,,,,
1760021279093000000,bybit,bbo,0.24379378,,market,,,,,,,,,,,
1760021279074000000,binance,bbo,0.24379702,,market,,,,,,,,,,,
1760021279057327000,bitget,orderbook,0.24372634,,market,,,,,,,,,,,
1760021279080000000,bitget,bbo,0.24372634,,market,,,,,,,,,,,
1760021279080949000,bybit,orderbook,0.24379378,,market,,,,,,,,,,,
1760021279092000000,binance,bbo,0.24379702,,market,,,,,,,,,,,
1760021279078484000,bitget,orderbook,0.24372634,,market,,,,,,,,,,,
1760021279100000000,bitget,bbo,0.24372634,,market,,,,,,,,,,,
1760021279102317000,bybit,orderbook,0.24379378,,market,,,,,,,,,,,
1760021279133000000,bybit,bbo,0.24379378,,market,,,,,,,,,,,
1760021279106000000,binance,bbo,0.24379702,,market,,,,,,,,,,,
1760021278968000000,binance,trade,0.24379202,sell,market,,,,,,,,,,,
1760021279121844000,bybit,orderbook,0.24379326,,market,,,,,,,,,,,
1760021279134000000,gate,bbo,0.24374500,,market,,,,,,,,,,,
1760021279118490000,bitget,orderbook,0.24372654,,market,,,,,,,,,,,
1760021279140000000,bitget,bbo,0.24372654,,market,,,,,,,,,,,
