ts_ns,exchange,feed,source_engine_ts_ns,source_system_ts_ns,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns,bid_px_1,bid_sz_1,bid_px_2,bid_sz_2,bid_px_3,bid_sz_3,bid_px_4,bid_sz_4,bid_px_5,bid_sz_5,ask_px_1,ask_sz_1,ask_px_2,ask_sz_2,ask_px_3,ask_sz_3,ask_px_4,ask_sz_4,ask_px_5,ask_sz_5,bid_depth,ask_depth
1764227723525474959,bybit,orderbook,1764227723464000000,1764227723477000000,143.61500000,,market,,,,,,,,,,,,143.61000000,6.10000000,143.60000000,162.60000000,143.59000000,280.50000000,143.58000000,832.80000000,143.57000000,873.20000000,143.62000000,1840.00000000,143.63000000,365.30000000,143.64000000,600.90000000,143.65000000,1284.70000000,143.66000000,1131.90000000,2155.20000000,5222.80000000
1764227723252720459,bybit,bbo,1764227723205000000,1764227723208000000,143.61500000,,market,,,,,,,,,,,,143.61000000,6.10000000,,,,,,,,,143.62000000,1840.00000000,,,,,,,,,6.10000000,1840.00000000
1764227723069789292,bybit,trade,1764227723021000000,1764227723023000000,143.62000000,sell,market,,,1.20000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764227723505301084,binance,bbo,1764227723428000000,1764227723428000000,143.62444444,,market,,,,,,,,,,,,143.61944444,270.79000000,,,,,,,,,143.62944444,1144.09000000,,,,,,,,,270.79000000,1144.09000000
1764227723384492042,binance,trade,1764227723152000000,1764227723306000000,143.61944444,sell,market,,,64.48000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764227723515253292,gate,orderbook,1764227723435000000,,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,143.61000000,62.00000000,143.60000000,200.00000000,143.59000000,131.00000000,143.58000000,205.00000000,143.63000000,58.00000000,143.64000000,70.00000000,143.65000000,83.00000000,143.66000000,67.00000000,143.67000000,152.00000000,629.00000000,430.00000000
1764227723528394667,gate,bbo,1764227723451000000,1764227723451000000,143.62500000,,market,,,,,,,,,,,,143.62000000,31.00000000,,,,,,,,,143.63000000,64.00000000,,,,,,,,,31.00000000,64.00000000
1764227722477312000,gate,trade,1764227722400000000,1764227722400000000,143.64000000,sell,market,,,1.00000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764227723528394709,bitget,orderbook,1764227723478000000,1764227723463000000,143.62777778,,market,,,,,,,,,,,,143.62727778,47.00000000,143.61427778,3.30000000,143.61127778,221.40000000,143.61027778,12.80000000,143.60927778,3.50000000,143.62827778,528.20000000,143.62927778,5.50000000,143.63027778,98.00000000,143.63127778,117.10000000,143.63227778,98.00000000,288.00000000,846.80000000
1764227723528394709,bitget,bbo,1764227723478000000,1764227723479000000,143.62777778,,market,,,,,,,,,,,,143.62727778,47.00000000,,,,,,,,,143.62827778,528.20000000,,,,,,,,,47.00000000,528.20000000
