ts_ns,exchange,feed,price,direction,event_type,client_order_id,side,size,reference_source,reference_ts_ns,reference_price,quote_internal_us,cancel_internal_us,quote_external_us,cancel_external_us,sent_ts_ns
1760065289669105555,bitget,orderbook,0.24861500,,market,,,,,,,,,,,
1760065289631000000,bitget,bbo,0.24861500,,market,,,,,,,,,,,
1760065284459000000,bitget,trade,0.24860000,sell,market,,,,,,,,,,,
1760065289677264212,bitget,orderbook,0.24861500,,market,,,,,,,,,,,
1760065289672000000,bitget,bbo,0.24861500,,market,,,,,,,,,,,
1760065289740028592,bitget,orderbook,0.24861500,,market,,,,,,,,,,,
1760065289735000000,bitget,bbo,0.24861500,,market,,,,,,,,,,,
1760065289819889941,bitget,orderbook,0.24861500,,market,,,,,,,,,,,
1760065289908000000,binance,bbo,0.24848500,,market,,,,,,,,,,,
1760065289923000000,binance,bbo,0.24848500,,market,,,,,,,,,,,
1760065289970925974,bitget,orderbook,0.24861500,,market,,,,,,,,,,,
1760065290000192477,bybit,orderbook,0.24849500,,market,,,,,,,,,,,
1760065289997000000,binance,bbo,0.24848500,,market,,,,,,,,,,,
1760065290020222949,bybit,orderbook,0.24849500,,market,,,,,,,,,,,
1760065290030000000,binance,bbo,0.24848500,,market,,,,,,,,,,,
1760065290040467566,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290032000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065290060550322,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290080702772,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290076000000,binance,bbo,0.24843500,,market,,,,,,,,,,,
1760065290100047478,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290120271786,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290119626853,bitget,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290140451375,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290160624798,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290030000000,binance,trade,0.24844000,buy,market,,,,,,,,,,,
1760065290200121377,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290220421285,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290193000000,bybit,bbo,0.24843500,,market,,,,,,,,,,,
1760065290240247126,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290260093337,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290280465358,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290289508584,bitget,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290300108593,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290273000000,bybit,bbo,0.24843500,,market,,,,,,,,,,,
1760065290309863334,bitget,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290305000000,bitget,bbo,0.24843500,,market,,,,,,,,,,,
1760065290320497026,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290312000000,binance,bbo,0.24843500,,market,,,,,,,,,,,
1760065290342000000,binance,bbo,0.24843500,,market,,,,,,,,,,,
1760065290360329760,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290380455150,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290400025000,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290409000000,binance,bbo,0.24843500,,market,,,,,,,,,,,
1760065290404000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065290412000000,binance,bbo,0.24843500,,market,,,,,,,,,,,
1760065290415380496,bitget,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290410000000,bitget,bbo,0.24843500,,market,,,,,,,,,,,
1760065290440050489,bybit,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290439672099,bitget,orderbook,0.24843500,,market,,,,,,,,,,,
1760065290460594390,bybit,orderbook,0.24843375,,market,,,,,,,,,,,
1760065290460000000,binance,bbo,0.24843375,,market,,,,,,,,,,,
1760065290451000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065290470000000,gate,trade,0.24843000,buy,market,,,,,,,,,,,
1760065290480734889,bybit,orderbook,0.24843375,,market,,,,,,,,,,,
1760065290453000000,bybit,bbo,0.24843375,,market,,,,,,,,,,,
1760065290489000000,binance,bbo,0.24843375,,market,,,,,,,,,,,
1760065290500310855,bybit,orderbook,0.24843400,,market,,,,,,,,,,,
1760065290502000000,binance,bbo,0.24843400,,market,,,,,,,,,,,
1760065290494000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065290549000000,binance,bbo,0.24843400,,market,,,,,,,,,,,
1760065290560440296,bybit,orderbook,0.24843400,,market,,,,,,,,,,,
1760065290579946588,bybit,orderbook,0.24843400,,market,,,,,,,,,,,
1760065290591529714,bitget,orderbook,0.24843400,,market,,,,,,,,,,,
1760065290597000000,binance,bbo,0.24843400,,market,,,,,,,,,,,
1760065290645000000,binance,bbo,0.24843417,,market,,,,,,,,,,,
1760065290646000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
1760065290660676559,bybit,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290680446026,bybit,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290643000000,bybit,bbo,0.24843417,,market,,,,,,,,,,,
1760065290700058692,bybit,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290674000000,bybit,bbo,0.24843417,,market,,,,,,,,,,,
1760065290707000000,binance,bbo,0.24843417,,market,,,,,,,,,,,
1760065290720071760,bybit,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290740286214,bybit,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290597000000,binance,trade,0.24842917,sell,market,,,,,,,,,,,
1760065290760021568,bybit,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290780023040,bybit,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290787943924,bitget,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290800225275,bybit,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290820026366,bybit,orderbook,0.24843417,,market,,,,,,,,,,,
1760065290840052956,bybit,orderbook,0.24843429,,market,,,,,,,,,,,
1760065290848000000,binance,bbo,0.24843429,,market,,,,,,,,,,,
1760065290837000000,binance,trade,0.24843929,buy,market,,,,,,,,,,,
1760065290839000000,gate,bbo,0.24843500,,market,,,,,,,,,,,
